,id,duration,definition,rating,views,likes,categories
0,5q87K1WaoFI,PT26M9S,hd,{},1566755,46827,"['Knowledge', 'Technology']"
1,ukzFI9rgwfU,PT7M52S,hd,{},3509367,43645,['Knowledge']
2,7eh4d6sabA0,PT49M43S,hd,{},1668060,41113,['Knowledge']
3,i_LwzRVP7bg,PT3H53M53S,hd,{},727772,13662,['Knowledge']
4,KNAWp2S3w94,PT7M18S,hd,{},782745,17430,['Knowledge']
5,q6kJ71tEYqM,PT7M50S,hd,{},107533,3765,['Knowledge']
6,nKW8Ndu7Mjw,PT10M36S,hd,{},2325065,39638,['Knowledge']
7,PeMlggyqz0Y,PT2M35S,hd,{},208875,14486,"['Knowledge', 'Technology']"
8,nl7kDPYD20A,PT10M32S,hd,{},559561,24604,"['Knowledge', 'Technology']"
9,NWONeJKn6kc,PT9H52M19S,hd,{},990870,34179,['Knowledge']
10,GwIo3gDZCVQ,PT9H38M32S,hd,{},2479094,45894,"['Knowledge', 'Technology']"
11,h0e2HAPTGF4,PT51M31S,hd,{},1414885,20159,['Knowledge']
12,VwVg9jCtqaU,PT35M33S,hd,{},1708050,35560,['Knowledge']
13,yN7ypxC7838,PT5M1S,hd,{},697125,18293,['Knowledge']
14,HcqpanDadyQ,PT5M23S,hd,{},947147,15905,"['Knowledge', 'Technology']"
15,aircAruvnKk,PT19M13S,hd,{},12367774,314180,['Knowledge']
16,f_uwKZIAeM0,PT2M19S,hd,{},445082,3111,['Knowledge']
17,EuBBz3bI-aA,PT6M36S,hd,{},911467,26934,['Knowledge']
18,Y5x8xvDnLXk,PT2M38S,hd,{},25638,1433,"['Music', 'Pop_music']"
19,fSytzGwwBVw,PT6M5S,hd,{},748607,23564,['Knowledge']
20,9gGnTQTYNaE,PT8M23S,hd,{},37501,764,['Knowledge']
21,I2ZK3ngNvvI,PT5M48S,hd,{},146878,4954,['Knowledge']
22,z-EtmaFJieY,PT11M51S,hd,{},781237,17643,['Knowledge']
23,qDbpYUbf3e0,PT10M41S,hd,{},202254,4148,['Knowledge']
24,Rt6beTKDtqY,PT16M34S,hd,{},380972,13143,['Knowledge']
25,ZqsnZX-p2qs,PT4M38S,hd,{},20270,576,['Society']
26,ZJixNvx9BAc,PT41M17S,hd,{},1397327,26889,"['Knowledge', 'Technology', 'Television_program']"
